0.486 0.215 0.974 0.124   0.0
0.099 0.260 0.916 0.852   1.0
0.881 0.142 0.229 0.108   0.0
0.305 0.941 0.669 0.131   1.0
0.645 0.375 0.963 0.595   1.0
0.812 0.413 0.594 0.384   1.0
0.655 0.500 0.749 0.869   1.0
0.756 0.299 0.716 0.847   1.0
0.247 0.361 0.511 0.785   0.0
0.687 0.616 0.009 0.545   0.0
0.527 0.111 0.373 0.227   0.0
0.191 0.884 0.051 0.304   0.0
0.314 0.387 0.129 0.688   0.0
0.151 0.369 0.316 0.899   0.0
0.710 0.613 0.345 0.980   1.0
0.621 0.446 0.077 0.324   0.0
0.285 0.421 0.075 0.064   0.0
0.330 0.082 0.946 0.184   0.0
0.898 0.207 0.216 0.007   0.0
0.814 0.456 0.033 0.217   0.0
0.138 0.805 0.475 0.066   0.0
0.168 0.694 0.731 0.936   1.0
0.389 0.285 0.968 0.892   1.0
0.426 0.733 0.125 0.402   0.0
0.520 0.884 0.447 0.865   1.0
0.561 0.307 0.028 0.116   0.0
0.206 0.052 0.141 0.550   0.0
0.120 0.064 0.643 0.037   0.0
0.866 0.632 0.233 0.275   1.0
0.474 0.803 0.845 0.732   1.0
0.229 0.154 0.956 0.848   1.0
0.697 0.834 0.092 0.640   1.0
0.528 0.271 0.315 0.377   0.0
0.071 0.472 0.963 0.469   0.0
0.315 0.300 0.439 0.236   0.0
0.214 0.647 0.315 0.715   0.0
0.901 0.904 0.546 0.144   1.0
0.836 0.641 0.067 0.307   0.0
0.424 0.890 0.549 0.369   1.0
0.116 0.954 0.615 0.377   1.0
0.543 0.134 0.273 0.067   0.0
0.704 0.291 0.864 0.152   1.0
0.747 0.636 0.303 0.731   1.0
0.356 0.675 0.888 0.978   1.0
0.304 0.691 0.461 0.779   1.0
0.180 0.687 0.214 0.459   0.0
0.825 0.192 0.898 0.260   1.0
0.522 0.828 0.737 0.732   1.0
0.452 0.057 0.821 0.683   1.0
0.465 0.005 0.251 0.857   0.0
0.680 0.775 0.837 0.978   1.0
0.961 0.149 0.609 0.339   1.0
0.793 0.090 0.931 0.573   1.0
0.584 0.951 0.509 0.771   1.0
0.936 0.793 0.057 0.607   1.0
0.908 0.723 0.908 0.608   1.0
0.802 0.652 0.365 0.258   1.0
0.510 0.390 0.049 0.054   0.0
0.948 0.466 0.048 0.202   0.0
0.603 0.602 0.130 0.088   0.0
0.741 0.232 0.815 0.194   0.0
0.287 0.971 0.582 0.606   1.0
0.921 0.455 0.986 0.774   1.0
0.425 0.437 0.983 0.688   1.0
0.793 0.568 0.218 0.102   0.0
0.155 0.751 0.592 0.998   1.0
0.042 0.485 0.851 0.912   1.0
0.010 0.097 0.511 0.301   0.0
0.177 0.278 0.880 0.597   0.0
0.679 0.821 0.467 0.105   1.0
0.598 0.972 0.554 0.411   1.0
0.381 0.299 0.223 0.435   0.0
0.283 0.480 0.600 0.809   1.0
0.870 0.927 0.617 0.723   1.0
0.108 0.644 0.066 0.896   0.0
0.068 0.229 0.216 0.832   0.0
0.788 0.420 0.797 0.014   1.0
0.312 0.101 0.606 0.196   0.0
0.442 0.171 0.535 0.446   0.0
0.238 0.170 0.299 0.095   0.0
0.786 0.096 0.635 0.252   0.0
0.284 0.284 0.270 0.044   0.0
0.950 0.784 0.419 0.222   1.0
0.817 0.125 0.117 0.315   0.0
0.914 0.883 0.146 0.960   1.0
0.889 0.948 0.847 0.584   1.0
0.584 0.907 0.607 0.090   1.0
0.615 0.442 0.283 0.695   1.0
0.473 0.157 0.355 0.588   0.0
0.178 0.723 0.101 0.558   0.0
0.026 0.776 0.545 0.243   0.0
0.455 0.442 0.492 0.170   0.0
0.556 0.922 0.409 0.232   1.0
0.273 0.025 0.445 0.757   0.0
0.811 0.068 0.358 0.833   1.0
0.289 0.039 0.656 0.042   0.0
0.170 0.433 0.698 0.253   0.0
0.493 0.675 0.067 0.644   0.0
0.453 0.524 0.982 0.589   1.0
0.335 0.368 0.024 0.594   0.0
0.366 0.822 0.980 0.907   1.0
0.481 0.530 0.059 0.983   1.0
0.567 0.575 0.280 0.448   0.0
0.192 0.413 0.306 0.725   0.0
0.359 0.725 0.508 0.965   1.0
0.325 0.102 0.533 0.460   0.0
0.001 0.964 0.175 0.175   0.0
0.968 0.625 0.803 0.567   1.0
0.656 0.903 0.154 0.343   1.0
0.688 0.189 0.756 0.312   0.0
0.952 0.376 0.771 0.991   1.0
0.410 0.551 0.526 0.116   0.0
0.179 0.868 0.534 0.724   1.0
0.926 0.497 0.268 0.948   1.0
0.099 0.061 0.477 0.195   0.0
0.021 0.462 0.326 0.851   0.0
0.392 0.512 0.134 0.181   0.0
0.223 0.263 0.010 0.577   0.0
0.722 0.455 0.136 0.794   1.0
0.189 0.970 0.015 0.365   0.0
0.426 0.726 0.434 0.809   1.0
0.705 0.885 0.448 0.830   1.0
0.831 0.812 0.146 0.124   0.0
0.314 0.662 0.495 0.986   1.0
0.199 0.029 0.032 0.342   0.0
0.574 0.542 0.699 0.389   1.0
0.289 0.823 0.587 0.476   1.0
0.930 0.718 0.879 0.405   1.0
